"id","name","price","original_price","rating","filtration_capacity"
0,"Aqua Fresh EPICAQUA ADJUSTER India 1st BIS (IS 16240 :2023) CM/L8100159306 15 L RO + UV + UF + ATDS Wa...","3,990","16,500","4","Filtration Capacity: 12 L/hr"
1,"Kinsco Aqua Punch 15 L RO + UV + UF + Copper + TDS Control Water Purifier with Prefilter","3,999","20,000","4.2","Filtration Capacity: 15 L/hr"
2,"MarQ by Flipkart Titanium Special Blue India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV + UF ...","5,499","16,500","3.9","Filtration Capacity: 8 L/hr"
3,"Aqua Fresh Smoke Audi 18 ltr drink pure India 1st BIS (IS 16240 :2023) CM/L8100159306 18 L RO + UV + U...","3,999","16,500","4.1","Filtration Capacity: 18 L/hr"
4,"Aquagrand SkyLand 18 Ltr  Water Purifier 18 L RO + UV + UF + TDS Water Purifier","3,992","14,500","3.9","Filtration Capacity: 18 L/hr"
5,"LIVPURE LIV-PEP-PRO-STAR. 7 L RO + UV + UF + Minerals Water Purifier Suitable for all - Borewell, Tank...","8,299","16,490","4.3","1 Year Manufacturer Domestic Warranty"
6,"Aquaguard Delight NXT 6 L RO + UV + UF Water Purifier | 6-Stage Purification | Suitable for all - Bore...","8,999","18,000","4.1","1 year comprehensive domestive warranty"
7,"Kinsco Aqua Punch+ Zinc Copper and Alkaline 15 L RO + UV + UF + Copper Guard + pH enhancer Water Purif...","3,999","20,000","4.2","Filtration Capacity: 15 L/hr"
8,"KENT Ace 8 L RO + UV + UF + TDS Water Purifier Suitable for all - Borewell, Tanker, Municipality Water","12,345","19,500","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
9,"Aquaguard Delight NXT Lite 6 L RO + MC Water Purifier | 6-Stage Purification with 2-in-1 Mineral Charg...","6,999","13,000","4.1","Filtration Capacity: 15 L/hr"
10,"Aqua Fresh MINERAL POT BLUE 16 L Gravity Based Water Purifier","918","2,999","3.8","N/A"
11,"KENT ACE - B 8 L RO + UV + UF + TDS Water Purifier Suitable for all - Borewell, Tanker, Municipality W...","12,649","22,000","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase with 3 Years Extended Service without Any Charges"
12,"Aquaguard Delight NXT 6 L UV + UF Water Purifier | 5-Stage Purification | Suitable only for Municipali...","7,499","11,500","4.1","1 year comprehensive warranty on all parts excluding consumables"
